			InferType: 127,406us [127,406us] (0.18%; 0.22%)
			InferType: 127,013us [127,013us] (0.18%; 0.22%)
			InferType: 127,632us [127,632us] (0.18%; 0.22%)
			InferType: 127,909us [127,909us] (0.18%; 0.22%)
			InferType: 127,956us [127,956us] (0.18%; 0.22%)
			InferType: 148,077us [148,077us] (0.20%; 0.25%)
			InferType: 148,525us [148,525us] (0.21%; 0.26%)
			InferType: 129,418us [129,418us] (0.18%; 0.22%)
			InferType: 129,346us [129,346us] (0.18%; 0.22%)
			InferType: 146,111us [146,111us] (0.20%; 0.25%)
			InferType: 147,457us [147,457us] (0.20%; 0.25%)
			InferType: 129,602us [129,602us] (0.18%; 0.22%)
			InferType: 129,679us [129,679us] (0.18%; 0.22%)
			InferType: 129,308us [129,308us] (0.18%; 0.22%)
			InferType: 130,736us [130,736us] (0.18%; 0.23%)
			InferType: 130,746us [130,746us] (0.18%; 0.23%)
			InferType: 130,501us [130,501us] (0.18%; 0.22%)
			InferType: 131,081us [131,081us] (0.18%; 0.23%)
			InferType: 130,612us [130,612us] (0.18%; 0.22%)
			InferType: 130,512us [130,512us] (0.18%; 0.22%)
			InferType: 136,430us [136,430us] (0.19%; 0.23%)
			InferType: 131,839us [131,839us] (0.18%; 0.23%)
			InferType: 131,353us [131,353us] (0.18%; 0.23%)
			InferType: 131,700us [131,700us] (0.18%; 0.23%)
			InferType: 132,086us [132,086us] (0.18%; 0.23%)
			InferType: 131,992us [131,992us] (0.18%; 0.23%)
			InferType: 145,962us [145,962us] (0.20%; 0.25%)
			InferType: 157,942us [157,942us] (0.22%; 0.27%)
			InferType: 131,797us [131,797us] (0.18%; 0.23%)
			InferType: 132,176us [132,176us] (0.18%; 0.23%)
			InferType: 132,755us [132,755us] (0.18%; 0.23%)
			InferType: 133,002us [133,002us] (0.18%; 0.23%)
			InferType: 133,584us [133,584us] (0.18%; 0.23%)
